time/h,<Ewe>/V
1.658347632,3.22612381
1.661125409,3.225779057
1.663903187,3.226389408
1.666680965,3.226824522
1.669458743,3.225714445
1.67223652,3.225197077
1.675014298,3.224871874
1.677792076,3.224876404
1.680569854,3.224967003
1.683347631,3.224578142
1.686125409,3.224147081
1.688903187,3.223430634
1.691680965,3.223135948
1.694458742,3.223794222
1.69723652,3.2245121
1.700014298,3.224732637
1.702792076,3.224145412
1.705569853,3.223747015
1.708347631,3.224272728
1.711125409,3.223856688
1.713903187,3.22371316
1.716680964,3.222937346
1.719458742,3.222811937
1.72223652,3.222196579
1.725014297,3.221903324
1.727792075,3.221745014
1.730569853,3.221764565
1.733347631,3.221794128
1.736125408,3.221686363
1.738903186,3.220264912
1.741680964,3.219970226
1.744458742,3.220643282
1.747236519,3.220527649
1.750014297,3.220544577
1.752792075,3.221727371
1.755569853,3.222565651
1.75834763,3.222531319
1.761125408,3.222249746
1.763903186,3.22202301
1.766680964,3.22176671
1.769458741,3.221053839
1.772236519,3.221315145
1.775014297,3.221013784
1.777792075,3.220777273
1.780569852,3.21981883
1.78334763,3.2195158
1.786125408,3.219493866
1.788903186,3.219095469
1.791680963,3.218197823
1.794458741,3.217595339
1.797236519,3.217376471
1.800014297,3.21689415
1.802792074,3.216502905
1.805569852,3.216460228
1.80834763,3.216278315
1.811125408,3.216625452
1.813903185,3.216306448
1.816680963,3.216026068
1.819458741,3.21558094
1.822236519,3.21648097
1.825014296,3.216350317
1.827792074,3.216589451
1.830569852,3.217481375
1.83334763,3.217678785
1.836125407,3.218219757
1.838903185,3.218769789
1.841680963,3.219084501
1.84445874,3.21952796
1.847236518,3.219300508
1.850014296,3.217696428
1.852792074,3.217083454
1.855569851,3.217046738
1.858347629,3.216659784
1.861125407,3.216700792
1.863903185,3.216639519
1.866680962,3.215305805
1.86945874,3.214477301
1.872236518,3.214288473
1.875014296,3.215141296
1.877792073,3.215227842
1.880569851,3.215157032
1.883347629,3.214669228
1.886125407,3.214829445
1.888903184,3.214962006
1.891680962,3.215245008
1.89445874,3.216473341
1.897236518,3.21790719
1.900014295,3.217912912
1.902792073,3.2167871
1.905569851,3.21543169
1.908347629,3.214949369
1.911125406,3.215152502
1.913903184,3.215259552
1.916680962,3.215312958
1.91945874,3.215581656
1.922236517,3.21571207
1.925014295,3.21551609
1.927792073,3.215652704
1.930569851,3.215854406
1.933347628,3.215292931
1.936125406,3.214398861
1.938903184,3.213693142
1.941680962,3.213338614
1.944458739,3.212955713
1.947236517,3.212618589
1.950014295,3.212005377
1.952792073,3.212394476
1.95556985,3.21261096
1.958347628,3.213039875
1.961125406,3.212493896
1.963903183,3.212351561
1.966680961,3.212702513
1.969458739,3.212443829
1.972236517,3.211414576
1.975014294,3.211818933
1.977792072,3.211545706
1.98056985,3.210963488
1.983347628,3.211151361
1.986125405,3.211513042
1.988903183,3.211424828
1.991680961,3.21008563
1.994458739,3.209579468
1.997236516,3.209442377
2.000014294,3.209384441
2.002792072,3.208877325
2.00556985,3.208830118
2.008347627,3.208531141
2.011125405,3.209313154
2.013903183,3.209966421
2.016680961,3.210785389
2.019458738,3.21111989
2.022236516,3.210860729
2.025014294,3.209719896
2.027792072,3.209263325
2.030569849,3.209964275
2.033347627,3.210577965
2.036125405,3.210745096
2.038903183,3.209998608
2.04168096,3.209536791
2.044458738,3.208768845
2.047236516,3.20796299
2.050014294,3.207589149
2.052792071,3.208537579
2.055569849,3.208645344
2.058347627,3.20858407
2.061125405,3.208564997
2.063903182,3.208718777
2.06668096,3.208402634
2.069458738,3.208112001
2.072236515,3.208003521
2.075014293,3.208216667
2.077792071,3.20874548
2.080569849,3.209137201
2.083347626,3.209293127
2.086125404,3.209218502
2.088903182,3.208827019
2.09168096,3.208674431
2.094458737,3.208702564
2.097236515,3.209063768
2.100014293,3.209092379
2.102792071,3.208799601
2.105569848,3.208017826
2.108347626,3.20814538
2.111125404,3.208589792
2.113903182,3.207710028
2.116680959,3.207899094
2.119458737,3.208361626
2.122236515,3.208554268
2.125014293,3.208230972
2.12779207,3.207544565
2.130569848,3.207206249
2.133347626,3.20723176
2.136125404,3.206315756
2.138903181,3.206328869
2.141680959,3.206879377
2.144458737,3.20712781
2.147236515,3.20638299
2.150014292,3.206052303
2.15279207,3.206017494
2.155569848,3.206070423
2.158347626,3.206387043
2.161125403,3.206106424
2.163903181,3.206468582
2.166680959,3.206520319
2.169458737,3.206309795
2.172236514,3.20626545
2.175014292,3.205828667
2.17779207,3.204893351
2.180569848,3.204463005
2.183347625,3.204315186
2.186125403,3.204377651
2.188903181,3.204241991
2.191680958,3.204433441
2.194458736,3.203500748
2.197236514,3.203595161
2.200014292,3.203539848
2.202792069,3.202638149
2.205569847,3.202192545
2.208347625,3.202772856
2.211125403,3.202937365
2.21390318,3.201949835
2.216680958,3.201646328
2.219458736,3.202268839
2.222236514,3.203056574
2.225014291,3.202847719
2.227792069,3.202597618
2.230569847,3.202708006
2.233347625,3.202833652
2.236125402,3.202339888
2.23890318,3.201745033
2.241680958,3.201708555
2.244458736,3.202212572
2.247236513,3.202129126
2.250014291,3.202266932
2.252792069,3.202588558
2.255569847,3.20382452
